companiesId	companiesName	companiesDateCreated	createdBy	companiesEmails	companiesPhones	employeesId	employeesName	usersResponsible	sectorKey
47	Ipsum Limited	9/1/2018	johndoe	consectetuer.adipiscing.elit@lectusCumsociis.edu	(72) 4078-7452	47	Charles Graves	elisadoe	4
48	Neque Venenatis Consulting	8/21/2019	johndoe	justo.eu.arcu@vel.edu	(12) 8805-7156	48	Keith Murray	joerobertson	4
49	Nibh Inc.	12/25/2018	johndoe	pede@fermentum.ca	(52) 8996-5447	49	Harper Harvey	maryann	1
50	Facilisis Eget Industries	3/3/2018	johndoe	Curabitur.consequat@loremeu.ca	(22) 1871-5941	50	Mohammad Christian	carlossuarez	5
51	Tortor Corp.	7/21/2017	johndoe	id@ligulaNullamenim.com	(38) 6887-5457	51	Hyatt Butler	elisadoe	2
52	Cras Institute	12/23/2017	johndoe	Fusce.feugiat.Lorem@nonummyultricies.co.uk	(41) 7717-5906	52	Mufutau Morrow	joerobertson	3
53	Et Foundation	6/12/2017	johndoe	est.Nunc@Maurisnulla.com	(83) 7290-0762	53	Ira Fowler	maryann	5
54	Nulla Dignissim Maecenas Company	10/23/2018	johndoe	Suspendisse@Morbi.org	(65) 7785-3262	54	Francis Blevins	carlossuarez	4
55	In Sodales Elit Incorporated	2/22/2018	johndoe	Sed@in.com	(68) 1448-0965	55	Gavin Farrell	elisadoe	4
56	Feugiat Tellus LLP	1/2/2018	johndoe	primis.in.faucibus@urnaNuncquis.ca	(30) 1459-0708	56	Ira Preston	joerobertson	6
57	Phasellus Corporation	12/3/2018	johndoe	sed.hendrerit.a@Sedid.edu	(97) 7102-6335	57	Fletcher Franco	maryann	2
58	Ornare Consulting	8/13/2019	johndoe	vel.pede@orciconsectetuer.ca	(43) 3527-5103	58	Brenden Dale	carlossuarez	1
59	Justo Eu LLP	10/8/2017	johndoe	ut@semut.org	(82) 8130-9750	59	Lee Burton	elisadoe	5
60	At Velit Limited	10/21/2018	johndoe	a.scelerisque.sed@AeneanmassaInteger.net	(28) 6427-6859	60	Wade Gaines	joerobertson	1
61	Natoque Penatibus Et LLP	3/6/2018	johndoe	Cras.interdum.Nunc@vel.net	(57) 5432-3347	61	Garrison Shields	maryann	4
62	Ante Maecenas Mi Limited	3/16/2018	johndoe	sagittis.placerat.Cras@Donec.org	(41) 9635-0575	62	Jacob Workman	carlossuarez	3
63	Eros Corp.	10/5/2017	johndoe	a@Craspellentesque.edu	(99) 8172-1982	63	Mason Sheppard	elisadoe	2
64	Nec Ante Inc.	11/8/2018	johndoe	non@tellusidnunc.co.uk	(64) 3547-7026	64	Merrill Marsh	joerobertson	6
65	Non Ante Bibendum Associates	9/2/2017	johndoe	feugiat@ornarelectus.org	(95) 6644-4079	65	Keaton Stephenson	maryann	5
66	Ullamcorper Magna Corp.	6/1/2019	johndoe	tellus.non.magna@elit.edu	(56) 1409-6352	66	Bert Hanson	carlossuarez	6
67	Ac Fermentum Vel Ltd	8/30/2018	johndoe	auctor.ullamcorper.nisl@sedpedenec.co.uk	(83) 6853-2834	67	Aladdin Madden	elisadoe	5
68	Dictum Sapien Aenean Incorporated	2/24/2018	johndoe	nec.diam.Duis@lacus.edu	(55) 8140-2583	68	Patrick Becker	joerobertson	5
69	Amet Orci Ut PC	11/24/2017	johndoe	taciti.sociosqu@semsempererat.org	(58) 7781-8655	69	Honorato Kent	maryann	3
70	Ultrices Vivamus Rhoncus Incorporated	12/4/2017	johndoe	libero@parturientmontesnascetur.co.uk	(18) 9055-4255	70	Addison Jarvis	carlossuarez	1
71	Laoreet Lectus Quis Foundation	5/30/2018	johndoe	orci.consectetuer@noncursus.ca	(94) 6629-0692	71	Craig Boyd	elisadoe	3
72	Diam Nunc Ullamcorper Limited	5/20/2019	johndoe	at.fringilla.purus@ullamcorpervelitin.net	(60) 6556-2043	72	Paki Bowman	joerobertson	2
73	Sit Amet Faucibus Institute	4/2/2018	johndoe	montes@velit.org	(70) 9870-9887	73	Reuben Carpenter	maryann	6
74	Auctor Foundation	12/4/2017	johndoe	Cras.vulputate.velit@rutrumloremac.ca	(32) 2537-4380	74	Gage Chapman	carlossuarez	6
